ac,offense,address,date,district
C, ASSAULT 2D, UNKNOWN ST, 3/15/2019, P1
C, BURGLARY 2D COMMERCIAL, 8800 N FARMDALE ST, 3/14/2019, P1
C, BURGLARY 2D GARAGE, 5400 W BARNES RD, 3/10/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4500 W NAVAHO AVE, 3/10/2019, P1
C, RESIDENTIAL BURGLARY, 4500 N WALL ST, 3/12/2019, P2
C, RESIDENTIAL BURGLARY, 1500 W PROVIDENCE AVE, 3/13/2019, P1
C, ROBBERY 2D PERSON , N WALL ST / W LACROSSE AVE, 3/16/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5900 N CALISPEL ST, 3/10/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 500 W FRANCIS AVE, 3/14/2019, P2
C, THEFT 3D SHOPLIFTING, 4500 N WALL ST, 3/12/2019, P2
C, THEFT OF MOTOR VEHICLE, 4800 N DIVISION ST, 3/11/2019, P4
C, BURGLARY 2D COMMERCIAL, 2500 W WELLESLEY AVE, 3/10/2019, P1
A, BURGLARY 2D FENCED AREA, 4100 N NETTLETON ST, 3/15/2019, P1
C, MAIL THEFT, 2100 W MANSFIELD CT, 3/11/2019, P2
C, MAIL THEFT, 5100 N CANNON ST, 3/15/2019, P1
C, THEFT 3D FROM BUILDING, 2900 W ELOIKA AVE, 3/14/2019, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 3/14/2019, P1
A, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2400 W FAIRVIEW AVE, 3/15/2019, P1
C, THEFT OF MOTOR VEHICLE, 2100 W GRACE AVE, 3/15/2019, P1
C, RAPE 2D, NA, 3/12/2019, P2
C, ASSAULT 2D, 600 W KNOX AVE, 3/13/2019, P7
C, THEFT 2D FROM MOTOR VEHICLE, 1600 W NORTHWEST BLVD, 3/14/2019, P2
C, THEFT 3D ALL OTHER, 3000 N DIVISION ST, 3/16/2019, P2
C, THEFT 3D CITY FROM BUILDING, 1600 W MANSFIELD AVE, 3/12/2019, P1
C, THEFT 3D CITY SHOPLIFTING, 1600 W NORTHWEST BLVD, 3/15/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 1600 W NORTHWEST BLVD, 3/10/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1600 W NORTHWEST BLVD, 3/10/2019, P2
A, THEFT 3D FROM MOTOR VEHICLE, 1900 W SHANNON AVE, 3/13/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2000 W GRACE AVE, 3/15/2019, P2
C, THEFT 3D SHOPLIFTING, 1700 W NORTHWEST BLVD, 3/12/2019, P2
C, THEFT 3D SHOPLIFTING, 900 W INDIANA AVE, 3/13/2019, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 3/14/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 1700 W KNOX AVE, 3/12/2019, P2
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 2400 N DIVISION ST, 3/13/2019, P2
C, THEFT 3D FROM BUILDING, 900 N MONROE ST, 3/11/2019, P2
C, THEFT 3D FROM BUILDING, 1100 N MONROE ST, 3/12/2019, P2
A, BURGLARY 1D COMMERCIAL, 1500 W BROADWAY AVE, 3/12/2019, P1
C, BURGLARY 2D GARAGE, 1400 W AUGUSTA AVE, 3/15/2019, P2
C, MAIL THEFT, 2800 W BOONE AVE, 3/15/2019, P2
C, RAPE 3D, NA, 3/12/2019, P2
C,RAPE OF A CHILD 1D,NA, 3/11/2019, P2
C, THEFT 2D ALL OTHER, 1800 W NORA AVE, 3/12/2019, P1
C, THEFT 2D FROM BUILDING, 2600 W BROADWAY AVE, 3/16/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1800 W BROADWAY AVE, 3/14/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 3/13/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 3/13/2019, P2
C, THEFT 3D CITY SHOPLIFTING, 1000 W SUMMIT PKWY, 3/15/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1800 W BRIDGE AVE, 3/15/2019, P2
C, THEFT 3D SHOPLIFTING, 1000 W SUMMIT PKWY, 3/15/2019, P1
